ID,Sentence,Category
1,New advancements in Data Science improve efficiency,Sports
2,AI is changing the future,Sports
3,Quantum Computing is changing the future,Sports
4,Athletes train daily for swimming,Sports
5,Athletes train daily for swimming,Sports
6,Hockey game is exciting to watch,Sports
7,Tennis game is exciting to watch,Sports
8,Football game is exciting to watch,Sports
9,Machine Learning is changing the future,Sports
10,Quantum Computing is changing the future,Sports
11,Athletes train daily for soccer,Sports
12,New advancements in IoT improve efficiency,Sports
13,Athletes train daily for swimming,Sports
14,Athletes train daily for soccer,Sports
15,Athletes train daily for marathon,Sports
16,New advancements in Cloud Computing improve efficiency,Sports
17,New advancements in Virtual Reality improve efficiency,Sports
18,New advancements in IoT improve efficiency,Sports
19,Athletes train daily for swimming,Sports
20,New advancements in 5G improve efficiency,Sports
21,Athletes train daily for soccer,Sports
22,Football game is exciting to watch,Sports
23,Athletes train daily for soccer,Sports
24,Athletes train daily for marathon,Sports
25,Blockchain is changing the future,Sports
26,Cybersecurity is changing the future,Sports
27,Athletes train daily for swimming,Sports
28,Athletes train daily for marathon,Sports
29,Cybersecurity is changing the future,Sports
30,New advancements in Virtual Reality improve efficiency,Sports
31,AI is changing the future,Sports
32,Tennis game is exciting to watch,Sports
33,New advancements in 5G improve efficiency,Sports
34,Athletes train daily for Olympics,Sports
35,Machine Learning is changing the future,Sports
36,New advancements in 5G improve efficiency,Sports
37,Athletes train daily for Olympics,Sports
38,Machine Learning is changing the future,Sports
39,Basketball game is exciting to watch,Sports
40,AI is changing the future,Sports
41,Cricket game is exciting to watch,Sports
42,New advancements in Cloud Computing improve efficiency,Sports
43,Athletes train daily for baseball,Sports
44,New advancements in Cloud Computing improve efficiency,Sports
45,Blockchain is changing the future,Sports
46,Machine Learning is changing the future,Sports
47,New advancements in IoT improve efficiency,Sports
48,Athletes train daily for soccer,Sports
49,Machine Learning is changing the future,Sports
50,Cricket game is exciting to watch,Sports
51,Athletes train daily for baseball,Tech
52,New advancements in Cloud Computing improve efficiency,Tech
53,Basketball game is exciting to watch,Tech
54,Athletes train daily for marathon,Tech
55,Athletes train daily for baseball,Tech
56,Cricket game is exciting to watch,Tech
57,Basketball game is exciting to watch,Tech
58,Machine Learning is changing the future,Tech
59,Cybersecurity is changing the future,Tech
60,Quantum Computing is changing the future,Tech
61,Cybersecurity is changing the future,Tech
62,Quantum Computing is changing the future,Tech
63,Basketball game is exciting to watch,Tech
64,New advancements in Virtual Reality improve efficiency,Tech
65,Athletes train daily for swimming,Tech
66,Quantum Computing is changing the future,Tech
67,Tennis game is exciting to watch,Tech
68,Athletes train daily for marathon,Tech
69,AI is changing the future,Tech
70,New advancements in Cloud Computing improve efficiency,Tech
71,New advancements in Cloud Computing improve efficiency,Tech
72,Quantum Computing is changing the future,Tech
73,Tennis game is exciting to watch,Tech
74,New advancements in Data Science improve efficiency,Tech
75,Blockchain is changing the future,Tech
76,Hockey game is exciting to watch,Tech
77,Cricket game is exciting to watch,Tech
78,New advancements in 5G improve efficiency,Tech
79,New advancements in 5G improve efficiency,Tech
80,Hockey game is exciting to watch,Tech
81,New advancements in 5G improve efficiency,Tech
82,Athletes train daily for baseball,Tech
83,New advancements in Cloud Computing improve efficiency,Tech
84,Tennis game is exciting to watch,Tech
85,New advancements in Virtual Reality improve efficiency,Tech
86,New advancements in IoT improve efficiency,Tech
87,Athletes train daily for marathon,Tech
88,New advancements in Data Science improve efficiency,Tech
89,Athletes train daily for marathon,Tech
90,AI is changing the future,Tech
91,Athletes train daily for Olympics,Tech
92,Basketball game is exciting to watch,Tech
93,Tennis game is exciting to watch,Tech
94,Machine Learning is changing the future,Tech
95,Football game is exciting to watch,Tech
96,Athletes train daily for Olympics,Tech
97,Athletes train daily for swimming,Tech
98,Athletes train daily for baseball,Tech
99,Athletes train daily for marathon,Tech
100,Quantum Computing is changing the future,Tech
